cnuc,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,administra,SiglaGrupo,UF,municipios,biomaIBGE,biomaCRL,CoordRegio
4,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU,1983,APA,826808036,1767007091,DEC  88.940 de 07/11/1983,Federal,US,DF,Brasília.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
27,ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA,1990,APA,1317708392,2162446453,DEC  98.891 de 26/01/1990,Federal,US,MG,Morro do Pilar Santana do Riacho Jaboticatubas Itambé do Mato DentroTaquaraçu de Minas  Nova União Conceição do Mato Dentro Itabira.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
25,ÁREA DE PROTEÇÃO AMBIENTAL DAS ILHAS E VÁRZEAS DO RIO PARANÁ,1997,APA,1005000,8602707672,DEC S/N de 30/09/1997,Federal,US,SP/PR/MS,Jateí Mundo Novo EldoradoTaquarussu Itaquari Guaíra Diamante do Norte  Nova Andradina Batayporã Rosana Terra Roxa Altônia Marilena Porto Rico Querência do Norte Ivaté Santa Cruz de Monte Castelo.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
10,ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS,1982,APA,682242948,3318887566,"DEC  87.561 de 13/09/1982, DEC  527 de 20/05/1992",Federal,US,RJ,Petrópolis Teresópolis Guapimirim Magé Duque de Caxias Miguel Pereira Cachoeiras de Macacu.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
5,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO,2002,APA,1503746068,3698877807,DEC S/N de 27/06/2002,Federal,US,RJ,Silva Jardim Cachoeiras de Macacu Rio Bonito Araruama Casimiro de Abreu Rio das Ostras Cabo Frio Macaé Nova Friburgo.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
16,ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM,1984,APA,139267635,725057451,DEC  90.225 de 25/09/1984,Federal,US,RJ,Magé Guapimirim Itaboraí São Gonçalo.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
13,ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU,1983,APA,326107779,2825698925,DEC  89.242 de 27/12/1983,Federal,US,RJ/SP,Parati Ubatuba.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR8 Rio de Janeiro/RJ
14,ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPE-PERUÍBE,1984,APA,2023095807,6428269385,"DEC  90.347 de 23/10/1984, DEC  91.892 de 6/11/1985",Federal,US,SP,Miracatu Pedro de Toledo Peruíbe Iguape Ilha Comprida Jacupiranga CananéiaPariquera-AçúItariri.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR8 Rio de Janeiro/RJ
17,ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA,1985,APA,2824463647,2607718105,DEC  90.883 de 31/01/1985,Federal,US,SP/PR,Guaraqueçaba Paranaguá Antonina Campina Grande do Sul Barra do Turvo Cananéia.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
1,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,1992,APA,44365902,365634552,DEC  528 de 20/05/1992,Federal,US,SC,Governador Celso Ramos.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR9 Florianópolis/SC
6,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,2000,APA,1548674035,4058315482,DEC S/N de 14/09/2000,Federal,US,SC,Florianópolis Palhoça Garopaba Paulo Lopes Imbituba Laguna Jaguaruna Içara Tubarão.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR9 Florianópolis/SC
21,ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ,1992,APA,3167920155,2747604063,DEC  529 de 20/05/1992,Federal,US,RS,Alegrete Rosário do Sul Santana do Livramento Quaraí.,PAMPA,PAMPA,CR9 Florianópolis/SC
43,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS,1985,Arie,31800539,694385085,DEC  91.884 de 05/11/1985,Federal,US,AM,Rio Preto da Eva Manaus.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
39,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE,1985,Arie,57695403,428756979,DEC  91.890 de 05/11/1985,Federal,US,PB,Rio Tinto Marcação.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR6 Cabedelo/PB
44,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERINGAL NOVA ESPERANÇA,1999,Arie,25739821,223234062,DEC S/N de 20/08/1999,Federal,US,AC,Epitaciolândia Xapuri.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
31,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA – TAQUARA,1985,Arie,2057226,29434509,DEC  91.303 de 03/06/1985,Federal,US,DF,Brasília.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
